name,lng,lat,address,isConnected,dcNum,acNum,s_idx,chg_points
龙岗中心城北充电站,114.23191467581304,22.73158924942265,深圳市龙岗区龙平西路129号,True,20,0,182,20
动漫产业基地充电站,114.13469543041288,22.55993503377275,深圳市罗湖区怡景路2008号动漫产业基地,True,4,0,181,4
西湖新村站,114.13003280283596,22.593720692809665,深圳市龙岗区布吉街道罗岗社区罗岗路1号西湖新村,True,2,0,180,2
海裕停车楼充电站,113.8786510604562,22.56571664313853,深圳市宝安区罗田路明玉路交叉口海裕停车场,True,38,0,177,38
比亚迪动物园充电站,113.95994072881632,22.59765469556449,深圳市南山区西丽动物园正门（停车场入口进去第一个路口左转）,True,92,0,174,92
万马爱充牛栏前商业街站,114.03483709466568,22.64253219557056,广东省深圳市龙华区工业东路83号,True,16,0,171,16
福田供电局停车场充电站,114.07891777046189,22.54872040552728,深圳市福田区福田供电局内,True,10,0,160,10
罗湖一建宿舍小区充电站,114.1088884778302,22.575884913515218,深圳市罗湖区清水河街道办事处红岗路1008号一建住宅小区地面停车场,True,6,0,157,6
坂田雪象充电站,114.07047805582113,22.65683407680893,深圳市龙岗区坂田街道坂田6号路北侧,True,68,0,157,68
罗湖艺展中心充电站,114.10103039202995,22.563975135626823,深圳市罗湖区桃园路121号艺展中心室内停车场4-5F,False,0,24,155,24
朗诗大厦充电站,113.9524624951502,22.54063648273354,深圳市南山区科技南十二路12号朗诗大厦负一楼停车场,True,5,0,153,5
奥特讯电力大厦后广场充电站,113.94632858647816,22.557596833879792,深圳市南山区松坪山路5号奥特讯电力大厦后广场,True,21,0,148,21
深圳南山区南海大道海晖大厦金山阁地下车库,113.9209402108583,22.511049119223863,深圳南山区南海大道海晖大厦金山阁地下车库,False,0,1,147,1
罗湖东乐花园92A景秀楼充电站,114.13515756067945,22.57440933360524,深圳市罗湖区东乐花园92A景秀楼,False,0,9,145,9
宝安客运中心充电站,113.87979399732524,22.593544376145378,深圳市宝安区西乡大道32号宝安客运中心汽车站,True,102,0,145,102
软件园一期充电站,113.93468948805786,22.547539595123112,深圳市南山区高新中三道2号软件园一期（1栋旁）,True,8,0,145,8
欧洲城宜家停车场充电站,113.96142520967427,22.558572194349047,深圳市南山区欧洲城宜家停车场,True,40,0,144,40
甲岸停车场充电站,113.89930365563302,22.56243642053684,深圳市宝安区海雅缤纷城公交站台旁,True,32,0,142,32
坪山汤坑充电站,114.30868463460229,22.674122762403996,深圳市坪山区同裕路2号,True,32,0,141,32
龙华白鸽湖公园充电站,114.08489524834935,22.696160167166607,广东省深圳市龙华区白鸽湖路131-2附近,False,2,10,137,12
比亚迪清水河充电站,114.10701608994457,22.57279107006585,深圳市罗湖区清水河力能充电站地下室,False,0,51,137,51
天御香山1期充电站,114.01480342147444,22.54158443501703,深圳市福田区红荔西路与农轩路交汇处地面停车场,True,8,0,130,8
华强云产业园充电站,114.04268765331358,22.565071387582897,深圳市福田区梅林街道梅秀路1-1号深圳华强云产业园,True,4,0,126,4
南山中钢大厦充电站,113.93522309613884,22.544633901330545,深圳南山中钢大厦停车场,False,5,5,125,10
布吉街道办站/慢充,114.1311516822353,22.61796271679482,广东省深圳市龙岗区政清路,False,0,14,124,14
德维森大厦充电站,113.94158576698533,22.53721184675462,深圳市南山区高新南七道16号,True,12,0,117,12
聚电车间充电站,113.93494349175045,22.527372318532645,深圳市南山区软件产业基地1B栋,True,1,0,116,1
比亚迪望海路北充电站,113.93969722154772,22.49038962060489,深圳市深圳湾公园,True,40,0,116,40
青青家园充电站,114.09582396998782,22.615931401896617,深圳市龙岗区布吉街道华龙路51号青青家园北区,True,48,0,115,48
南湾充电站,114.15214970513183,22.63929222311336,深圳市龙岗区丹平快速路入口与S28水官高速入口交叉口东南150米,True,60,0,114,60
龙岗横岗供电分局充电站,114.20670062764007,22.65109377669433,深圳市龙岗区横岗供电分局,True,6,0,113,6
中信龙盛充电站,114.29165489942312,22.725878481373567,深圳市龙岗区龙岗街道中信龙盛广场2栋01层52号公交首末站,True,34,0,113,34
深圳丽雅查尔顿酒店充电站,113.94403823656496,22.53846892148321,深圳市南山区高新科技园高新南四道13号（中兴通讯大厦南侧）,True,11,0,109,11
洪浪北裕安居充电站,113.9013002310859,22.580161860166864,深圳市宝安区上合32区裕安路裕安居停车场内,True,7,0,105,7
米尔科技充电站,113.93383463093944,22.527844125878293,深圳市南山区软件产业基地4栋B座,True,3,0,104,3
坂田星河雅宝充电站,114.05487965935484,22.60692298320096,深圳市龙岗区坂田街道星河雅宝1号地块公交首末站,True,46,0,103,46
深圳机场充电站,113.81485710688771,22.651968977906662,深圳市宝安区福永,True,10,0,96,10
宝安松岗供电分局充电站,113.8435445978346,22.77089144656216,深圳市宝安区广深路松岗供电分局128号,True,8,0,94,8
八卦岭站,114.09307235924685,22.561568958739294,深圳市福田区八卦二路526栋后方（天天饰展中心后方）,True,7,0,91,7
双龙充电站,114.26833668068876,22.72893902938245,深圳市龙岗区龙岗大道龙岗长途汽车站旁,True,7,0,89,7
回品酒店充电站,114.0768296248116,22.55118863755974,深圳市福田区红荔路3015号,True,3,0,85,3
福田依岚花园充电站,114.0857659754926,22.567455568187984,深圳市福田区上步北路2009号笔架山依岚花园地下停车场负二层,False,0,30,84,30
大润发充电站,114.03311483039276,22.665614667488374,广东省深圳市龙华区和平路大润发,False,0,52,83,52
平湖荟港城充电站,114.13564722565678,22.689665699907422,深圳市龙岗区平湖街道平湖大街330号荟港城,True,7,0,83,7
龙岗罗瑞合村充电站,114.25285536688502,22.723900474852066,深圳市龙岗街道南联罗瑞合村,True,6,0,82,6
光明城高铁站充电站,113.94920160045986,22.73631816806213,深圳市光明新区光明城高铁站,True,20,0,81,20
翠枫豪园公交充电站-专用,114.0963534905774,22.61493662985532,深圳市龙岗区华龙路翠枫豪园总站,True,18,0,81,18
莱莱充电站,113.90374203396722,22.584620750215077,深圳市宝安区大宝路西一巷2号,True,3,0,79,3
恒誉凤凰,113.9445011798864,22.76422663465365,广东省深圳市光明区光明街道碧园路63号,True,88,0,79,88
福田香蜜公园充电站,114.02055591600822,22.54504095406129,深圳市福田区农园路30号香蜜公园,True,10,0,78,10
罗湖育才花园小区充电站,114.1165929438763,22.586330934459376,深圳市罗湖区东晓街道办事处金稻田路2047号育才花园小区地面停车场,True,6,0,78,6
联想大厦停车场充电站,113.94283874188972,22.541820120599983,深圳市南山区联想研发中心停车场科技南路与高新南一道交叉口西北侧,True,20,0,78,20
罗湖淘金山南广场充电站,114.13830505925208,22.58838957394233,深圳市罗湖区东湖淘金山湖景花园一期车库大门,False,0,12,77,12
体育场充电站,114.08816038159316,22.56261244803517,深圳市福田区上步北路与笋岗路交界处，体育场东门入口处。,True,11,0,75,11
宝安供电局本部充电站,113.904535540087,22.56538953311333,深圳市宝安供电局停车场,True,8,0,73,8
龙壁工业区6栋充电站,114.04901376521715,22.636953548203667,深圳市龙岗区坂田街道龙壁工业区6栋1层,False,0,3,72,3
龙城和谐充电站,114.22196961129104,22.72523441419996,深圳市龙岗区横岗镇,True,22,0,70,22
龙岗圳埔岭南路充电站,114.2338004807766,22.7049684148346,深圳市龙岗区龙岗街道圳埔岭南路,True,22,0,70,22
罗湖华景园充电站,114.17191149666937,22.568035282978784,深圳市罗湖区罗沙路4020号华景园别墅,False,0,21,68,21
石岩官田停车场充电站,113.93498532372254,22.686894080552023,深圳市宝安区田心大道与田心路交叉口东150米,True,20,0,68,20
深圳龙华区龙观路充电站,114.02308813298494,22.67061053834752,广东省深圳市龙华区龙观东路249号（鑫富实业旁）,True,40,0,68,40
炜东城百货充电站,113.9008445496981,22.72925076619576,深圳市宝安区光明新区田寮路3号,True,12,0,65,12
